20.01.2026,16:00,Tallinn
21.01.2026,16:00,Tromso
22.01.2026,16:00,Copenhagen
23.01.2026,16:00,Warsaw
24.01.2026,16:00,Dubrovnik
25.01.2026,16:00,Belgrade
26.01.2026,16:00,Sarajevo
27.01.2026,16:00,Milan
28.01.2026,16:00,Rome
29.01.2026,16:00,Izmir
30.01.2026,16:00,Antalya
31.01.2026,16:00,Istanbul
01.02.2026,16:00,Sofia
02.02.2026,16:00,Bucharest
03.02.2026,16:00,Budapest
04.02.2026,16:00,Berlin
05.02.2026,16:00,Amsterdam
06.02.2026,16:00,Brussel
07.02.2026,16:00,London
08.02.2026,16:00,Glasgow
09.02.2026,16:00,Barcelona
10.02.2026,16:00,Paris
11.02.2026,16:00,Porto
12.02.2026,16:00,Madrid
13.02.2026,16:00,Johannesburg
14.02.2026,16:00,Rio De Janerio
15.02.2026,16:00,São Paulo
16.02.2026,16:00,Buenos Aires
17.02.2026,16:00,Nashville
18.02.2026,16:00,New York
19.02.2026,16:00,Montreal
20.02.2026,16:00,Toronto
21.02.2026,16:00,Chicago
22.02.2026,16:00,Seattle
23.02.2026,16:00,Los Angeles
24.02.2026,16:00,Mexico City
26.02.2026,16:00,Shanghai
27.02.2026,16:00,Tokyo
28.02.2026,16:00,Manila
01.03.2026,16:00,Jakarta
02.03.2026,16:00,Melbourne
03.03.2026,16:00,Singapore
04.03.2026,16:00,Ankara
06.03.2026,16:00,Baku
07.03.2026,16:00,Kyiv
08.03.2026,16:00,Moscow
09.03.2026,16:00,Vilnius
10.03.2026,16:00,Stockholm
11.03.2026,16:00,Helsinki
12.03.2026,16:00,Tallinn
13.03.2026,16:00,Tromso
14.03.2026,16:00,Copenhagen
15.03.2026,16:00,Warsaw
16.03.2026,16:00,Dubrovnik
17.03.2026,16:00,Belgrade
18.03.2026,16:00,Sarajevo
19.03.2026,16:00,Milan
20.03.2026,16:00,Rome
21.03.2026,16:00,Izmir
22.03.2026,16:00,Antalya
23.03.2026,16:00,Istanbul
24.03.2026,16:00,Sofia
25.03.2026,16:00,Bucharest
26.03.2026,16:00,Budapest
27.03.2026,16:00,Berlin
28.03.2026,16:00,Amsterdam
29.03.2026,16:00,Brussel
30.03.2026,16:00,London
31.03.2026,16:00,Glasgow
01.04.2026,16:00,Barcelona
02.04.2026,16:00,Paris
03.04.2026,16:00,Porto
04.04.2026,16:00,Madrid




































